ID,Name,Pronouns,Concentration,N_Connections,KL_Divergence,prior_mean_she_her,prior_mean_he_him,prior_mean_xe_xer,prior_mean_they_them,prior_mean_she_they,prior_mean_he_they,post_mean_she_her,post_mean_he_him,post_mean_xe_xer,post_mean_they_them,post_mean_she_they,post_mean_he_they
69,Melissa Hernandez,he/him,9.967,2,0.02181,0.405,0.2798,0.0307,0.1373,0.1197,0.0275,0.3373,0.3166,0.0256,0.1979,0.0997,0.0229
31,Stephanie Mccarty,they/them,10.57,2,0.02172,0.1469,0.3846,0.0224,0.3538,0.085,0.0072,0.1235,0.3234,0.0188,0.4567,0.0715,0.0061
176,Tiffany Barker,he/they,11.84,3,0.02157,0.4112,0.2364,0.0163,0.1322,0.0818,0.1221,0.3955,0.3234,0.013,0.1054,0.0653,0.0974
234,Ashley Brown,she/her,8.829,2,0.02107,0.445,0.2703,0.0241,0.1788,0.0649,0.017,0.5475,0.2204,0.0196,0.1458,0.0529,0.0138
17,Wendy Aguirre,he/him,8.561,1,0.02092,0.1757,0.4941,0.1005,0.056,0.0641,0.1096,0.2619,0.4425,0.09,0.0501,0.0574,0.0982
154,Anna Floyd,he/him,12.305,1,0.02092,0.3298,0.3841,0.0741,0.0226,0.086,0.1033,0.305,0.3552,0.0685,0.0209,0.1547,0.0955
75,Henry Bartlett,he/him,13.283,2,0.02074,0.1241,0.5577,0.1245,0.0605,0.0328,0.1005,0.1078,0.5501,0.1082,0.118,0.0285,0.0874
13,Lisa Flynn,she/her,13.454,3,0.02071,0.1386,0.239,0.07,0.1063,0.2207,0.2254,0.1741,0.2562,0.0572,0.1477,0.1805,0.1843
85,Kendra Williams,she/her,11.75,2,0.02034,0.3757,0.3141,0.0348,0.0997,0.0662,0.1095,0.3211,0.3411,0.0297,0.1579,0.0566,0.0936
158,Joseph Carter,she/they,11.653,1,0.01952,0.3175,0.1056,0.0106,0.115,0.1506,0.3007,0.2924,0.1763,0.0098,0.1059,0.1387,0.2769
73,Elizabeth Taylor,he/him,12.591,2,0.01944,0.2903,0.3871,0.0306,0.0494,0.0831,0.1596,0.2505,0.4025,0.0264,0.0426,0.1402,0.1377
148,Rebekah Gonzalez,she/her,11.881,2,0.01937,0.381,0.3721,0.0099,0.1069,0.0348,0.0954,0.3261,0.3906,0.0085,0.0915,0.0297,0.1537
173,Jacqueline Jackson,she/they,10.47,3,0.01924,0.578,0.2474,0.0051,0.0337,0.033,0.1027,0.672,0.1923,0.004,0.0262,0.0257,0.0798
262,Carlos Nelson,they/them,9.637,1,0.0192,0.1558,0.3243,0.0135,0.2314,0.2233,0.0517,0.2351,0.2938,0.0123,0.2097,0.2023,0.0468
196,Kathryn Meza,she/her,7.975,3,0.01913,0.4811,0.1437,0.0154,0.2101,0.0456,0.1041,0.5318,0.1044,0.0112,0.2438,0.0331,0.0757
93,Daniel Pittman,she/her,8.401,3,0.01898,0.3236,0.3817,0.0504,0.2084,0.0292,0.0067,0.3262,0.4567,0.0371,0.1536,0.0216,0.0049
121,Rebecca Carter,she/her,8.001,3,0.01875,0.2975,0.4116,0.0052,0.1803,0.045,0.0604,0.3073,0.4811,0.0038,0.1312,0.0328,0.0439
111,Robert Randall,he/him,7.645,3,0.01871,0.4234,0.3012,0.1311,0.0787,0.0283,0.0374,0.4919,0.3102,0.0941,0.0565,0.0203,0.0269
6,Brent Walters,he/him,11.635,3,0.01858,0.3683,0.3228,0.082,0.0966,0.0549,0.0754,0.3611,0.325,0.0652,0.0768,0.0436,0.1283
169,Shelley Stone,he/him,13.786,3,0.01851,0.4011,0.2362,0.022,0.2582,0.0511,0.0313,0.3294,0.2536,0.0181,0.3312,0.042,0.0257
199,Christina Ferguson,she/her,10.778,2,0.01838,0.4134,0.2661,0.1158,0.0695,0.1118,0.0235,0.427,0.2244,0.1759,0.0586,0.0943,0.0198
21,Robert Wright,he/they,11.772,2,0.01833,0.4028,0.3015,0.0291,0.09,0.0605,0.1161,0.3443,0.3304,0.0249,0.0769,0.0517,0.1718
61,Julie Hughes,they/them,7.017,1,0.01816,0.2609,0.2782,0.0308,0.1349,0.1676,0.1276,0.2284,0.3682,0.027,0.118,0.1467,0.1117
117,Mr. Taylor Jordan,she/her,8.073,1,0.01779,0.1537,0.309,0.0561,0.2286,0.0087,0.2439,0.1367,0.2749,0.0499,0.3137,0.0077,0.217
122,Julie Juarez,he/him,10.178,3,0.01758,0.3295,0.3771,0.0949,0.0435,0.0507,0.1043,0.3304,0.3671,0.1492,0.0336,0.0391,0.0806
74,Sarah Peterson,she/they,11.597,1,0.01743,0.4417,0.2126,0.0041,0.1225,0.161,0.058,0.4067,0.1957,0.0038,0.1922,0.1482,0.0534
193,Melissa Miller,they/them,12.631,2,0.01726,0.3595,0.2689,0.0414,0.1375,0.1159,0.0768,0.3104,0.3005,0.0357,0.1187,0.1684,0.0663
291,Phillip Murray,she/her,10.006,3,0.01721,0.1974,0.4797,0.0542,0.1629,0.0241,0.0817,0.1519,0.5228,0.0417,0.2022,0.0186,0.0628
276,Melvin Calhoun,she/her,9.351,2,0.01663,0.4085,0.205,0.0682,0.1628,0.1123,0.0432,0.4246,0.1689,0.0562,0.2222,0.0925,0.0356
30,Nicholas Perez,they/them,12.369,2,0.01652,0.3149,0.3568,0.0061,0.1884,0.0491,0.0846,0.2711,0.4463,0.0053,0.1622,0.0423,0.0728
71,Rhonda Norton,she/her,9.413,2,0.01638,0.2775,0.3835,0.0409,0.215,0.0625,0.0206,0.3165,0.3163,0.0338,0.265,0.0515,0.017
53,Michael Patrick,she/her,12.006,3,0.01626,0.2595,0.6128,0.0413,0.0347,0.0214,0.0302,0.3409,0.5569,0.033,0.0278,0.0171,0.0242
171,Bill Stevenson,she/her,9.501,1,0.01615,0.2811,0.192,0.003,0.3316,0.1265,0.0658,0.2543,0.269,0.0027,0.3,0.1145,0.0595
266,Chris Estrada,he/him,12.107,3,0.01592,0.284,0.2586,0.0438,0.1876,0.1445,0.0814,0.2276,0.2735,0.0351,0.2166,0.182,0.0652
292,Robert Jackson,they/them,8.045,2,0.01592,0.246,0.3301,0.0816,0.0943,0.1382,0.1099,0.2966,0.3639,0.0653,0.0755,0.1107,0.088
289,Scott Griffith,she/her,14.069,2,0.01561,0.3147,0.4262,0.0891,0.0314,0.1082,0.0304,0.4,0.3731,0.078,0.0275,0.0947,0.0266
11,Anthony Martin,he/they,7.754,1,0.01506,0.2487,0.2826,0.0196,0.2398,0.0647,0.1445,0.2203,0.3646,0.0174,0.2124,0.0573,0.128
106,William Rodriguez,she/her,10.609,3,0.01483,0.3236,0.3583,0.0609,0.1283,0.1184,0.0105,0.3258,0.4263,0.0474,0.1,0.0923,0.0082
270,James Martinez,he/him,7.712,1,0.01483,0.2885,0.2693,0.2065,0.0817,0.0614,0.0925,0.3702,0.2384,0.1828,0.0724,0.0544,0.0818
163,Kyle Webb,they/them,13.388,2,0.0148,0.4437,0.3066,0.0684,0.1153,0.0405,0.0255,0.386,0.3318,0.0595,0.1653,0.0353,0.0221
125,Dale Combs,they/them,12.436,1,0.01476,0.5782,0.0999,0.0345,0.1116,0.046,0.1298,0.5352,0.0925,0.0319,0.1033,0.0426,0.1946
4,Benjamin Vasquez,she/her,9.323,1,0.01476,0.3421,0.3038,0.0156,0.1177,0.0043,0.2166,0.3089,0.2744,0.0141,0.1063,0.0039,0.2925
14,Natalie Noble PhD,she/her,9.341,3,0.0147,0.5565,0.1664,0.0443,0.1748,0.0115,0.0464,0.5833,0.207,0.0336,0.1323,0.0087,0.0351
25,Karen Meyer,she/her,11.563,2,0.01464,0.2728,0.3829,0.0727,0.1358,0.0984,0.0373,0.2326,0.4002,0.062,0.1895,0.0839,0.0318
185,Jason Reyes,she/her,11.779,2,0.0141,0.4225,0.243,0.0404,0.2107,0.077,0.0064,0.5063,0.2077,0.0346,0.1801,0.0658,0.0054
15,Kelly Thomas PhD,xe/xer,8.675,1,0.01401,0.2546,0.3175,0.0662,0.2196,0.0723,0.0698,0.3316,0.2847,0.0593,0.1969,0.0648,0.0626
167,Lynn Hall,they/them,9.989,1,0.01397,0.2912,0.2846,0.0815,0.2039,0.0341,0.1047,0.2647,0.2587,0.0741,0.2763,0.031,0.0952
272,Eric Spence,they/them,9.912,1,0.01391,0.2074,0.3339,0.0213,0.2039,0.1928,0.0408,0.28,0.3033,0.0193,0.1852,0.1752,0.0371
145,Nicholas Lee,he/him,8.179,1,0.01368,0.3562,0.2838,0.0504,0.214,0.0493,0.0462,0.3174,0.3619,0.0449,0.1907,0.0439,0.0411
198,Brian Harris,they/them,9.511,1,0.0131,0.2345,0.4186,0.0424,0.2367,0.0134,0.0544,0.3074,0.3788,0.0384,0.2142,0.0121,0.0492
268,George Garza,he/him,8.178,1,0.01307,0.2948,0.4307,0.0411,0.1327,0.0141,0.0865,0.3716,0.3838,0.0367,0.1183,0.0126,0.077
275,Amanda Drake,she/her,9.586,3,0.01296,0.4489,0.2654,0.0967,0.0422,0.0151,0.1317,0.5008,0.2816,0.0737,0.0322,0.0115,0.1003
281,Wendy Miller,he/him,11.168,2,0.01295,0.2308,0.4713,0.0599,0.1805,0.0528,0.0047,0.1957,0.5516,0.0508,0.1531,0.0448,0.004
195,Jason Nichols,he/they,9.806,1,0.01271,0.2208,0.1651,0.0888,0.2299,0.2288,0.0666,0.2004,0.1498,0.0806,0.3011,0.2077,0.0604
127,Mary Jenkins,she/they,11.02,1,0.01268,0.1777,0.365,0.0753,0.1163,0.0758,0.1899,0.1629,0.3347,0.069,0.1066,0.0695,0.2573
136,Steven Morgan,he/him,6.247,1,0.01254,0.2136,0.4271,0.0381,0.1626,0.0241,0.1344,0.1841,0.5062,0.0329,0.1401,0.0208,0.1159
179,Timothy Allen,they/them,8.107,1,0.01211,0.1376,0.3173,0.0682,0.3674,0.0846,0.0249,0.1225,0.3922,0.0607,0.327,0.0753,0.0222
161,Janet Smith,she/her,13.915,2,0.01203,0.2558,0.3878,0.0342,0.1057,0.0814,0.1351,0.2236,0.4647,0.0299,0.0924,0.0711,0.1181
206,Patrick King,they/them,7.031,1,0.01201,0.1502,0.36,0.0308,0.3834,0.0648,0.0107,0.1315,0.3152,0.027,0.4602,0.0568,0.0094
36,Jamie Brown,he/him,12.046,3,0.01187,0.2834,0.4588,0.0604,0.1067,0.0601,0.0306,0.2934,0.4338,0.0483,0.1519,0.0481,0.0245
197,Steven Williams,he/they,12.158,1,0.0118,0.4478,0.1634,0.0072,0.0787,0.1723,0.1307,0.4137,0.151,0.0066,0.0727,0.2352,0.1207
76,Elizabeth Phillips,he/him,7.041,1,0.01133,0.2047,0.3985,0.0373,0.0409,0.2613,0.0574,0.1792,0.4733,0.0326,0.0358,0.2288,0.0503
200,Chloe Collins,she/her,8.636,2,0.01131,0.2611,0.3824,0.0415,0.1544,0.122,0.0386,0.306,0.4046,0.0337,0.1254,0.099,0.0313
60,Katrina Johnson,she/her,10.424,2,0.0113,0.5411,0.2624,0.0139,0.0506,0.0915,0.0405,0.6149,0.2202,0.0117,0.0424,0.0768,0.0339
227,Jason Sanchez,he/him,10.611,2,0.01128,0.1836,0.437,0.0121,0.1994,0.0888,0.0792,0.2338,0.4469,0.0102,0.1678,0.0747,0.0666
101,Eric Davis,she/her,12.128,3,0.01127,0.3305,0.3663,0.1318,0.0408,0.0788,0.0519,0.3311,0.4258,0.1056,0.0327,0.0632,0.0416
107,Michelle Garcia,he/they,9.862,1,0.0112,0.2552,0.4296,0.124,0.1205,0.0034,0.0672,0.3238,0.3901,0.1126,0.1094,0.0031,0.061
81,Denise Martin,he/him,7.932,1,0.01115,0.3479,0.308,0.0236,0.1331,0.1808,0.0067,0.4209,0.2735,0.021,0.1182,0.1605,0.0059
59,Dustin Castillo,he/him,10.505,1,0.01109,0.2335,0.2116,0.0335,0.355,0.1009,0.0655,0.3001,0.1933,0.0306,0.3241,0.0921,0.0598
298,Vanessa Bender,he/him,11.135,2,0.01097,0.2453,0.2744,0.0671,0.2731,0.0334,0.1067,0.2841,0.3088,0.0569,0.2315,0.0284,0.0904
86,Samantha Morales,he/him,7.349,1,0.01092,0.2541,0.3885,0.0248,0.2457,0.0469,0.04,0.2236,0.4617,0.0218,0.2163,0.0413,0.0352
273,Steven Mccullough,he/him,8.362,2,0.01088,0.3655,0.1122,0.023,0.2896,0.0512,0.1585,0.3914,0.0905,0.0186,0.3302,0.0413,0.1279
26,Gary Peterson,he/they,10.218,2,0.01076,0.2055,0.419,0.0202,0.1695,0.1078,0.0781,0.2537,0.4323,0.0169,0.1418,0.0901,0.0653
228,Edward Ware,xe/xer,14.608,3,0.01052,0.3354,0.2896,0.0839,0.107,0.0099,0.1742,0.3918,0.2971,0.0696,0.0888,0.0082,0.1445
46,Jay Mcintyre,he/him,13.727,2,0.01039,0.1645,0.2744,0.0368,0.3045,0.1187,0.1011,0.2072,0.2395,0.0321,0.3294,0.1036,0.0882
56,Justin Jones,she/they,12.141,3,0.0103,0.241,0.2779,0.0175,0.1754,0.1494,0.1388,0.2593,0.2888,0.014,0.2067,0.1198,0.1113
140,Danielle Tapia,she/her,11.419,1,0.01029,0.5486,0.2189,0.0928,0.0684,0.0495,0.0218,0.5044,0.2818,0.0853,0.0629,0.0456,0.02
70,Joshua Riddle,they/them,16.369,3,0.01027,0.3426,0.3859,0.0505,0.1625,0.0166,0.0419,0.2895,0.4294,0.0427,0.189,0.014,0.0354
278,Lynn Parker,she/her,8.611,3,0.01025,0.476,0.3299,0.0169,0.0275,0.0782,0.0715,0.5253,0.3308,0.0125,0.0204,0.058,0.053
104,Michael Gonzalez,he/him,8.255,1,0.01023,0.2154,0.3523,0.0468,0.2175,0.0917,0.0764,0.1921,0.4223,0.0418,0.194,0.0818,0.0681
57,Sean Mcbride,she/her,8.357,1,0.01004,0.3515,0.3369,0.074,0.0656,0.0458,0.1263,0.4208,0.3009,0.0661,0.0586,0.0409,0.1128
28,Anna Valdez,he/him,9.181,1,0.0099,0.3135,0.2763,0.0715,0.2539,0.0699,0.0149,0.3809,0.2491,0.0645,0.2289,0.0631,0.0134
137,Heather Orr,he/they,8.824,2,0.00927,0.3023,0.3676,0.036,0.0854,0.0952,0.1135,0.3388,0.392,0.0293,0.0696,0.0776,0.0925
9,Justin Dyer,he/him,10.38,1,0.00919,0.2798,0.4617,0.0428,0.1515,0.0439,0.0204,0.3431,0.4211,0.039,0.1382,0.04,0.0186
241,Jessica Melendez,he/him,8.869,1,0.00918,0.3686,0.3477,0.0086,0.2134,0.0502,0.0115,0.3313,0.4138,0.0078,0.1918,0.0451,0.0103
100,Bryce Edwards,they/them,11.684,1,0.00905,0.2371,0.5252,0.0913,0.0727,0.0213,0.0525,0.2973,0.4838,0.0841,0.0669,0.0196,0.0484
208,Tammy Bowman,he/him,9.368,1,0.00903,0.3275,0.3028,0.0329,0.0888,0.2048,0.0432,0.3924,0.2736,0.0297,0.0802,0.1851,0.039
277,Ronald Hernandez,xe/xer,8.703,3,0.00889,0.3303,0.363,0.0327,0.1799,0.0244,0.0696,0.3311,0.3554,0.0243,0.2192,0.0182,0.0518
214,Kerri Jones,he/him,8.111,1,0.00886,0.3981,0.3237,0.0042,0.1039,0.0628,0.1072,0.4642,0.2882,0.0038,0.0925,0.0559,0.0954
165,Katherine Ellis,they/them,7.814,1,0.00882,0.2221,0.4167,0.0427,0.0791,0.1174,0.122,0.1969,0.4829,0.0379,0.0701,0.1041,0.1081
92,Lisa Pittman,they/them,10.507,1,0.00848,0.237,0.2936,0.0447,0.0987,0.1436,0.1824,0.2164,0.355,0.0408,0.0901,0.1312,0.1666
221,Wesley Stevens,he/they,15.422,3,0.00843,0.4786,0.3229,0.0362,0.095,0.0145,0.0528,0.455,0.3246,0.0303,0.1338,0.0121,0.0442
274,Lisa Martinez,she/her,10.315,1,0.00831,0.3916,0.3062,0.0161,0.2207,0.0133,0.0521,0.357,0.3675,0.0146,0.2012,0.0121,0.0475
186,Melissa Mcdonald,they/them,11.75,1,0.008,0.4096,0.2616,0.0401,0.2356,0.028,0.0251,0.3774,0.3195,0.037,0.2172,0.0258,0.0231
128,Kelli Ellis,he/him,11.017,1,0.00799,0.2876,0.4943,0.0529,0.1417,0.0119,0.0116,0.3469,0.4532,0.0485,0.1299,0.0109,0.0106
220,Misty Reynolds,they/them,10.979,1,0.00759,0.3013,0.2427,0.0111,0.2759,0.0398,0.1291,0.3596,0.2225,0.0102,0.2529,0.0365,0.1183
65,Tracy Williamson,she/her,10.416,2,0.00748,0.393,0.2729,0.0036,0.1345,0.1016,0.0943,0.4102,0.3095,0.0031,0.1128,0.0852,0.0791
55,Stephanie Graham,xe/xer,10.05,2,0.00746,0.3535,0.3119,0.017,0.1514,0.1438,0.0224,0.3778,0.3432,0.0141,0.1263,0.1199,0.0187
139,Toni Valencia,he/they,8.331,1,0.00737,0.154,0.4344,0.0562,0.1523,0.0767,0.1264,0.1375,0.495,0.0502,0.136,0.0685,0.1128
49,Felicia Wolfe,xe/xer,9.354,1,0.00734,0.3739,0.381,0.0407,0.0928,0.0873,0.0243,0.3378,0.4407,0.0368,0.0838,0.0788,0.022
89,James Downs,he/him,10.421,1,0.00702,0.3429,0.4174,0.0355,0.0508,0.0949,0.0585,0.4005,0.3808,0.0324,0.0464,0.0866,0.0533
249,Kim Lin,she/her,15.147,1,0.00698,0.2975,0.428,0.0381,0.1973,0.0216,0.0176,0.2791,0.4015,0.0357,0.247,0.0202,0.0165
5,Dennis Smith,she/they,13.767,2,0.00696,0.4592,0.1846,0.0676,0.0578,0.1605,0.0704,0.4643,0.2246,0.059,0.0505,0.1401,0.0615
40,Lindsey Logan,xe/xer,9.427,1,0.00694,0.3632,0.3921,0.0299,0.1145,0.0917,0.0086,0.3284,0.4504,0.027,0.1035,0.0829,0.0078
213,Megan Alexander,he/him,10.566,1,0.00677,0.322,0.3458,0.0224,0.232,0.0217,0.0561,0.2941,0.4023,0.0204,0.2119,0.0198,0.0513
192,Brian Craig,she/her,15.241,2,0.00671,0.4179,0.1954,0.0405,0.1734,0.0676,0.1052,0.4274,0.1727,0.0358,0.2113,0.0597,0.093
283,April Campbell,she/her,9.552,1,0.00658,0.3314,0.3995,0.0326,0.1161,0.1174,0.003,0.3,0.4564,0.0295,0.1051,0.1062,0.0027
177,Mary Knight,he/him,11.966,2,0.00657,0.1635,0.62,0.0485,0.0845,0.0585,0.0251,0.1401,0.6744,0.0415,0.0724,0.0501,0.0215
134,Seth Salazar,she/her,9.318,2,0.00644,0.611,0.2472,0.0241,0.0461,0.0279,0.0437,0.5914,0.2919,0.0198,0.038,0.023,0.036
229,Pamela Myers,she/her,7.973,2,0.00644,0.4508,0.3391,0.0576,0.09,0.0306,0.0319,0.4606,0.3714,0.0461,0.072,0.0244,0.0255
50,Crystal Navarro,she/her,10.647,1,0.00643,0.3556,0.1839,0.0446,0.2567,0.0463,0.1128,0.4109,0.1681,0.0408,0.2347,0.0424,0.1031
290,Edward Bowman,she/her,11.921,1,0.00641,0.3063,0.3093,0.048,0.2417,0.0619,0.0327,0.36,0.2854,0.0443,0.223,0.0571,0.0302
299,Ashley Mccoy,he/him,8.46,1,0.0062,0.2598,0.4736,0.1175,0.1005,0.0309,0.0176,0.2324,0.5293,0.1051,0.0899,0.0277,0.0158
108,John Brown,she/her,13.421,1,0.00607,0.2869,0.2697,0.0142,0.0494,0.1913,0.1885,0.267,0.3203,0.0132,0.046,0.178,0.1754
252,Lisa Wilson,he/him,13.191,2,0.00592,0.2026,0.5296,0.0253,0.1461,0.0776,0.0189,0.2417,0.5257,0.022,0.1269,0.0674,0.0164
27,John Pennington,she/her,9.579,1,0.00583,0.4305,0.3909,0.0116,0.0727,0.059,0.0353,0.4843,0.3539,0.0105,0.0658,0.0534,0.032
144,Sara Smith,he/they,10.253,1,0.00581,0.3989,0.2818,0.0342,0.2377,0.0121,0.0353,0.4524,0.2568,0.0312,0.2166,0.011,0.0321
62,Amanda Hamilton,she/her,8.93,1,0.00578,0.2481,0.4665,0.031,0.0875,0.1495,0.0174,0.2231,0.5202,0.0278,0.0787,0.1344,0.0157
244,Elizabeth Rivers,he/they,11.019,2,0.00578,0.2882,0.4169,0.0807,0.1304,0.05,0.0338,0.3207,0.4297,0.0683,0.1104,0.0423,0.0286
246,Brian Contreras,she/her,12.947,1,0.00567,0.3003,0.3787,0.0027,0.1989,0.1094,0.01,0.3505,0.3515,0.0025,0.1847,0.1016,0.0093
138,Sherry Smith,she/her,12.451,1,0.00563,0.2983,0.3183,0.0228,0.184,0.1392,0.0374,0.2762,0.369,0.0211,0.1703,0.1288,0.0346
247,Michael Wise,she/her,13.689,1,0.00529,0.2927,0.2556,0.0056,0.2116,0.0581,0.1764,0.3408,0.2382,0.0052,0.1972,0.0542,0.1644
39,David Hawkins,they/them,8.809,1,0.00501,0.1625,0.5114,0.0572,0.2013,0.0599,0.0077,0.146,0.5612,0.0514,0.1807,0.0538,0.0069
47,Justin Benson,he/him,10.028,1,0.00498,0.1214,0.45,0.0043,0.1698,0.061,0.1935,0.1104,0.4998,0.0039,0.1544,0.0555,0.1759
251,Jeremy Knight,he/they,11.335,2,0.0049,0.3728,0.3392,0.0355,0.0961,0.0077,0.1487,0.3918,0.3634,0.0302,0.0817,0.0065,0.1264
250,Mary Garcia,he/him,14.262,1,0.00475,0.4,0.3003,0.035,0.1237,0.0224,0.1186,0.3738,0.3461,0.0327,0.1156,0.0209,0.1109
282,Joseph Mcpherson,he/him,10.54,1,0.0045,0.1679,0.4532,0.0501,0.3025,0.0177,0.0087,0.1533,0.5006,0.0457,0.2763,0.0162,0.0079
116,Katherine Hernandez,she/her,9.673,2,0.00429,0.4327,0.3625,0.0061,0.1133,0.0275,0.0578,0.4442,0.3861,0.0051,0.0939,0.0228,0.0479
35,Robert Reed,she/her,12.301,1,0.00379,0.2825,0.4239,0.0219,0.1343,0.0184,0.1189,0.2613,0.4672,0.0203,0.1242,0.017,0.11
232,Leonard Smith,she/her,14.479,3,0.00374,0.3389,0.256,0.2351,0.0982,0.0573,0.0145,0.3379,0.2693,0.252,0.0813,0.0474,0.012
94,Christine Gallegos,she/her,10.357,1,0.00344,0.266,0.5324,0.0279,0.0615,0.034,0.0781,0.2426,0.5736,0.0254,0.0561,0.031,0.0712
271,Brittany Jensen,he/him,14.865,1,0.00319,0.2509,0.3782,0.0877,0.2098,0.0622,0.0112,0.2351,0.4174,0.0821,0.1966,0.0583,0.0105
157,Jeffrey Green,she/her,10.851,1,0.00318,0.5307,0.1686,0.0743,0.0941,0.1043,0.0279,0.5703,0.1544,0.068,0.0862,0.0955,0.0255
153,Rodney Bullock,she/her,15.329,1,0.00305,0.3752,0.2053,0.0099,0.0811,0.0729,0.2556,0.4135,0.1928,0.0093,0.0761,0.0684,0.24
155,Arthur Walker,they/them,12.919,2,0.00299,0.3482,0.4207,0.038,0.105,0.0611,0.027,0.3686,0.4313,0.0329,0.091,0.0529,0.0234
135,Ricky Chen,he/him,15.91,1,0.00263,0.395,0.3488,0.0072,0.1505,0.0254,0.0731,0.4308,0.3282,0.0067,0.1416,0.0239,0.0688
82,Keith Lee,he/him,13.686,2,0.00261,0.446,0.3365,0.0612,0.065,0.05,0.0414,0.4529,0.3573,0.0534,0.0567,0.0436,0.0361
130,Eduardo Davis,he/him,21.089,1,0.00199,0.3332,0.4343,0.0456,0.0413,0.1216,0.024,0.3634,0.4147,0.0435,0.0394,0.1161,0.0229
